CustomerID,Recency,TenureDays,Frequency,Monetary
12346,326,1,1,77183.6
12347,2,365,7,4310.0
12348,75,282,4,1797.24
12349,19,1,1,1757.55
12350,310,1,1,334.4
12352,36,260,8,2506.04
12353,204,1,1,89.0
12354,232,1,1,1079.4
12355,214,1,1,459.4
12356,23,302,3,2811.43
12357,33,1,1,6207.67
12358,2,149,2,1168.06
12359,58,274,4,6372.58
12360,52,148,3,2662.06
12361,287,1,1,189.9
12362,3,292,10,5226.23
12363,110,132,2,552.0
12364,8,104,4,1313.1
12365,291,1,2,641.38
12367,4,1,1,168.9
12370,51,309,4,3545.69
12371,45,14,2,1887.96
12372,72,224,3,1298.04
12373,311,1,1,364.6
12374,25,1,1,742.9300000000001
12375,11,87,2,457.5
12377,315,39,2,1628.12
12378,130,1,1,4008.62
12379,82,88,2,852.24
12380,22,164,4,2724.81
12381,5,115,5,1845.31
12383,185,167,5,1850.56
12384,29,92,2,585.27
12386,338,29,2,401.9
12388,16,311,6,2780.66
12390,80,1,1,549.84
12391,22,1,1,460.89
12393,72,260,4,1582.6000000000001
12394,64,153,2,1272.48
12395,19,351,12,3018.63
12397,36,99,2,2409.9
12398,46,1,1,1635.6599999999999
12399,119,142,4,1108.65
12401,303,1,1,84.3
12402,323,1,1,225.6
12403,50,1,1,427.7
12405,149,1,1,1710.39
12406,22,161,2,3415.3
12407,50,214,5,1708.1200000000001
12408,33,227,5,2888.55
12409,79,103,3,11072.67
12410,309,1,2,693.3299999999999
12412,75,94,3,1226.88
12413,67,270,3,758.1
12414,217,93,3,562.41
12415,24,313,21,124914.53
12417,3,354,9,3649.1
12418,113,1,1,668.58
12420,64,1,1,600.39
12421,16,303,4,807.04
12422,96,229,3,803.5600000000001
12423,1,352,8,1859.31
12424,163,1,2,1760.96
12425,78,1,1,777.2
12426,195,1,1,582.73
12427,22,349,3,825.8
12428,26,257,9,7956.46
12429,9,356,4,3750.4
12430,43,1,1,256.4
12431,36,338,15,6487.45
12432,43,129,5,5059.32
12433,1,372,7,13375.87
12434,85,175,2,806.14
12435,80,188,2,7829.89
12436,100,1,1,509.01
12437,2,329,18,4951.41
12438,14,125,2,2906.85
12441,367,1,1,173.55
12442,3,1,1,172.06
12444,21,149,5,5005.46
12445,22,1,1,133.4
12446,58,1,1,1002.3100000000001
12447,243,1,1,476.49
12448,44,1,1,449.45
12449,22,164,4,4067.29
12450,156,17,2,197.88
12451,11,313,5,9035.52
12452,17,1,2,430.57
12453,134,1,1,707.09
12454,56,1,1,3528.34
12455,73,223,6,2466.86
12456,44,210,3,3181.04
12457,66,172,7,2363.23
12458,71,213,2,947.4
12461,94,60,2,826.88
12462,19,284,2,1189.59
12463,53,188,4,1344.78
12464,10,299,8,1212.05
12465,17,152,2,742.1899999999999
12468,188,128,2,729.5400000000001
12471,2,362,30,19824.05
12472,32,336,7,6572.11
12473,29,162,5,3938.5499999999997
12474,17,312,18,7375.79
12475,54,1,1,723.38
12476,16,345,11,6816.42
12477,23,278,6,13219.74
12478,4,1,1,680.99
12479,11,1,1,527.2
12480,28,307,4,3281.63
12481,23,342,10,5596.32
12483,17,322,8,2484.98
12484,33,303,6,4541.72
12488,10,65,3,1298.66
12489,336,1,1,334.93
12490,5,324,10,5417.93
12491,39,1,1,460.40000000000003
12492,63,42,2,263.21000000000004
12493,166,31,2,433.74
12494,16,349,7,1246.1000000000001
12497,82,1,1,1043.1
12498,21,36,3,403.70000000000005
12500,23,310,11,4257.82
12501,337,1,1,2169.39
12502,96,214,5,3723.87
12504,18,12,2,482.04999999999995
12506,233,1,1,73.5
12507,134,164,3,1304.81
12508,26,2,2,398.27
12509,284,1,1,176.5
12510,143,182,2,982.5699999999999
12512,66,1,2,138.03
12513,113,1,1,612.29
12514,267,1,1,1017.68
12515,353,1,1,383.7
12516,78,102,2,1312.06
12517,28,161,5,2502.84
12518,1,109,5,2056.89
12519,64,1,1,340.84
12520,79,194,5,2634.26
12521,143,1,1,599.68
12522,39,12,2,192.72
12523,19,312,11,1789.77
12524,9,324,8,4485.72
12526,1,93,3,1316.66
12527,82,243,3,348.71000000000004
12528,9,303,6,1933.48
12530,60,277,4,1662.28
12531,15,1,1,125.22
12532,30,1,1,349.83000000000004
12534,131,1,1,1089.18
12535,92,94,2,716.35
12536,43,15,3,12601.830000000002
12538,29,1,1,363.95
12539,22,311,4,5568.35
12540,20,342,17,13400.24
12541,30,251,3,981.18
12544,36,1,1,372.7
12545,75,184,2,1000.39
12546,47,31,2,1161.5
12547,198,82,2,207.79999999999998
12548,166,1,1,95.19999999999999
12550,79,1,1,964.83
12551,358,1,1,168.0
12552,39,1,2,437.82
12553,8,321,10,3692.28
12556,50,100,2,603.71
12557,16,355,5,11990.960000000001
12558,8,1,1,269.96
12559,311,8,2,561.71
12560,5,137,3,2134.01
12561,303,1,1,238.85
12562,8,190,7,3781.7400000000002
12564,261,1,1,456.9
12565,289,1,1,145.92
12566,86,1,1,351.65
12567,23,346,10,9401.28
12569,2,250,32,4124.69
12571,40,81,2,519.61
12572,9,43,2,1020.42
12573,227,1,1,160.54000000000002
12574,316,1,1,218.45
12576,36,268,5,1315.83
12577,35,323,3,657.8
12578,21,308,2,2794.51
12579,78,1,1,440.42
12580,247,1,1,415.7
12581,40,1,1,197.71
12582,239,49,2,511.36
12583,3,370,15,7281.38
12584,4,276,9,2338.15
12585,234,117,2,2040.1
12586,17,1,1,196.94000000000003
12587,8,1,1,144.0
12588,39,1,1,214.89999999999998
12589,29,115,2,646.68
12590,211,1,2,9864.26
12591,317,1,1,452.84999999999997
12592,92,121,2,437.6
12593,109,110,3,418.09999999999997
12594,38,285,10,3338.2200000000003
12596,51,190,2,618.27
12597,19,248,4,3811.22
12598,10,275,8,3023.08
12599,29,275,7,1032.58
12600,29,342,10,2599.04
12601,190,142,5,577.0600000000001
12602,59,1,1,153.12
12603,22,1,1,739.1999999999999
12604,79,182,2,254.18
12607,60,1,1,1579.51
12609,78,240,3,1126.85
12610,23,103,5,2099.54
12611,52,1,1,1193.32
12612,74,1,1,704.0400000000001
12613,57,204,5,3344.38
12614,278,1,1,315.6
12615,2,166,4,2291.19
12616,95,202,2,713.3
12617,29,1,1,355.53
12618,22,1,1,177.31
12619,16,237,9,3641.24
12620,15,189,3,1339.41
12621,2,364,20,13689.67
12622,232,1,1,180.1
12623,276,1,1,305.1
12624,106,71,2,641.13
12625,212,107,2,2683.82
12626,23,303,9,6620.48
12627,11,129,7,4478.53
12628,4,60,3,786.46
12630,10,34,2,1270.88
12631,57,1,1,640.5
12633,59,229,4,2163.98
12635,90,65,2,1689.18
12637,67,256,8,6021.9
12638,33,1,1,671.69
12639,239,1,1,486.1
12640,24,57,3,1174.58
12641,115,1,1,185.9
12642,25,82,3,1013.26
12643,128,204,6,3344.64
12644,130,1,1,477.91
12645,34,282,4,1775.18
12646,5,44,2,1346.97
12647,22,346,12,3722.82
12648,155,1,1,318.05
12649,107,105,3,623.51
12650,3,1,1,314.44
12651,335,1,1,114.0
12652,331,1,1,919.98
12653,149,147,2,2209.85
12654,11,284,5,601.98
12656,17,216,5,4051.17
12657,11,67,4,1643.18
12658,19,1,1,686.05
12659,30,1,1,91.68
12660,11,1,1,245.1
12662,1,372,11,3849.78
12664,8,314,9,4881.88
12665,325,1,1,63.0
12667,58,1,1,620.13
12668,12,343,4,3807.15
12669,151,105,3,2744.0299999999997
12670,10,222,5,2996.05
12672,330,1,1,225.89999999999998
12673,5,321,2,610.52
12674,39,169,4,1970.6
12676,25,286,6,1331.39
12678,42,311,12,17628.46
12679,59,225,4,1113.02
12680,1,112,4,862.81
12681,15,353,22,13787.54
12682,4,367,31,12288.22
12683,4,361,15,8476.57
12684,8,205,7,2283.63
12685,28,65,6,2863.08
12686,372,1,1,89.14
12688,114,1,1,4873.8099999999995
12689,26,101,2,1247.61
12690,206,1,1,389.01
12691,28,329,6,1035.8
12693,127,192,4,855.91
12694,70,112,2,869.67
12695,7,203,4,582.1
12697,29,140,3,957.59
12700,8,207,4,4939.99
12701,80,162,2,797.71
12702,20,1,1,219.0
12703,71,1,1,283.55
12704,7,162,8,2340.84
12705,15,341,9,6868.29
12707,292,1,1,603.42
12708,30,338,10,2712.91
12709,15,351,15,9736.52
12710,97,104,3,1149.02
12712,29,342,13,4396.13
12713,1,1,1,848.55
12714,9,285,5,4708.86
12715,106,1,1,353.86
12716,4,129,2,1053.49
12717,151,94,2,1030.98
12718,71,1,1,238.25
12719,5,59,2,644.95
12720,3,366,25,5781.73
12721,32,323,6,2656.13
12722,85,65,4,997.63
12723,4,61,5,725.07
12724,5,327,4,1031.41
12725,371,1,1,427.8
12726,28,329,7,2609.1
12727,11,309,7,3980.7
12728,71,261,4,836.33
12729,114,1,1,453.01
12731,24,341,12,18895.91
12732,180,1,1,236.26000000000002
12733,234,1,1,383.95
12734,353,1,1,110.39999999999999
12735,315,21,2,779.5699999999999
12736,333,1,1,234.0
12738,372,1,1,155.35
12739,78,20,2,1013.04
12740,64,1,1,427.6
12743,134,1,2,546.43
12744,52,266,7,21279.29
12747,2,366,11,4196.01
12748,1,372,209,33719.73
12749,4,209,5,4090.88
12750,129,1,1,275.88
12752,81,1,1,4366.78
12753,23,339,6,21429.39
12754,236,72,3,3010.74
12755,281,85,2,3811.95
12756,87,1,1,112.07999999999998
12757,16,195,13,7857.1
12758,117,159,2,2791.59
12759,52,223,3,1531.44
12762,8,17,2,1898.52
12763,138,230,2,494.08
12764,317,1,1,1693.88
12766,4,362,7,6989.63
12769,239,1,1,1143.6
12770,211,1,1,1351.45
12772,60,1,1,892.47
12775,17,294,5,1386.04
12778,20,292,6,822.23
12779,38,333,8,3981.36
12781,64,221,2,826.74
12782,5,352,5,2330.92
12783,2,73,6,2225.91
12784,9,6,2,574.42
12785,364,1,1,311.95
12787,10,182,3,463.66
12789,65,1,1,91.85
12790,192,1,1,324.92
12791,374,1,1,192.60000000000002
12792,257,1,1,400.53999999999996
12793,335,36,2,545.48
12794,53,45,2,860.41
12795,19,1,1,430.48
12797,366,1,1,254.03
12798,10,160,3,6977.04
12802,187,1,1,427.58
12808,37,331,3,483.65000000000003
12809,178,1,1,489.31
12811,261,23,3,514.85
12812,45,1,1,229.64000000000001
12814,102,1,1,125.92
12815,148,50,2,1063.46
12816,96,80,2,572.2
12817,281,1,1,166.04
12818,262,1,1,1542.08
12820,3,323,4,942.34
12821,214,1,1,92.72
12822,71,16,2,948.88
12823,75,221,5,1759.5
12824,60,1,1,397.12
12826,3,362,7,1474.72
12827,6,38,3,430.15000000000003
12828,3,127,6,1018.71
12829,337,23,2,293.0
12830,38,134,6,6814.64
12831,262,1,1,215.05
12832,32,65,2,383.03
12833,145,1,1,417.38
12834,283,1,1,312.38
12836,59,252,4,2612.86
12837,173,1,1,134.1
12838,34,340,2,683.13
12839,3,364,14,5591.42
12840,144,82,4,2726.77
12841,5,367,25,4022.35
12842,70,238,2,1118.99
12843,66,198,8,1702.26
12844,29,101,2,325.96000000000004
12845,267,22,4,354.09
12847,22,1,1,871.54
12849,31,237,2,1050.8899999999999
12851,97,1,1,135.18
12852,295,1,1,311.55
12853,135,181,6,1957.1000000000001
12854,79,239,3,1324.5
12855,373,1,1,38.1
12856,8,55,6,2179.93
12857,211,91,2,1106.4
12863,52,1,1,521.2
12864,138,1,1,147.12
12865,26,97,2,1568.23
12866,283,1,1,559.12
12867,26,333,7,4036.82
12868,186,187,6,1607.0600000000002
12871,84,123,2,380.64
12872,327,38,2,599.97
12873,282,1,1,374.0
12875,143,219,2,343.2300000000001
12876,58,138,2,2218.02
12877,4,354,12,1535.77
12878,236,29,2,854.99
12879,45,47,3,573.22
12881,276,1,1,298.0
12882,9,24,2,1463.04
12883,25,64,4,703.47
12884,88,1,1,309.05
12885,63,60,3,1175.22
12886,68,151,2,1378.4
12888,214,41,2,354.12
12890,24,1,1,380.46999999999997
12891,186,107,3,331.0
12893,31,1,1,188.14
12895,42,44,2,372.8
12897,205,97,2,216.5
12901,9,261,28,17654.54
12902,265,1,1,138.68
12904,18,154,2,509.58
12906,12,66,5,2919.81
12908,176,136,2,750.0
12909,40,213,5,2178.67
12910,23,218,8,3075.04
12912,3,37,5,1662.3
12913,5,363,5,2483.63
12915,149,223,2,363.65
12916,139,181,4,3006.15
12917,128,1,1,594.0
12919,8,161,6,1335.19
12920,17,1,1,164.23
12921,9,364,37,16587.09
12922,161,1,1,405.38
12923,64,1,1,176.97
12924,88,239,4,933.7
12925,5,70,2,694.05
12928,35,323,5,2062.7000000000003
12929,312,1,1,117.85
12930,78,93,2,415.8
12931,22,336,15,42055.96
12933,24,259,3,607.53
12935,2,317,7,2160.7
12936,17,61,4,1063.9
12937,15,252,4,1504.27
12938,26,1,1,114.14
12939,64,270,8,11581.8
12940,55,33,2,913.54
12942,131,234,3,683.9
12944,36,319,2,604.51
12945,288,1,1,462.95
12947,144,229,6,1603.99
12948,16,248,7,2064.95
12949,31,221,8,4167.22
12950,2,21,3,1843.0
12951,9,322,6,1064.07
12952,6,72,4,1387.79
12953,10,1,1,329.85
12955,1,266,11,4757.16
12956,306,1,1,108.07
12957,10,329,8,4017.54
12962,7,106,2,266.39
12963,8,357,8,1856.63
12965,89,1,1,771.91
12966,10,1,1,160.18
12967,358,13,2,1660.9
12968,112,1,1,135.95
12970,7,315,4,452.24
12971,4,368,86,11189.91
12974,198,1,1,144.8
12976,212,1,1,738.6
12977,156,1,1,39.239999999999995
12980,158,200,9,7374.900000000001
12981,30,103,2,372.21999999999997
12982,243,1,1,390.54
12984,19,1,1,97.5
12985,1,27,2,1239.38
12987,74,124,2,558.7
12988,292,1,1,535.32
12989,3,361,15,6924.110000000001
12990,31,278,3,409.5
12991,23,89,2,503.76
12993,23,275,4,414.76
12994,4,264,3,974.4200000000001
12995,85,1,1,211.32
12997,22,294,4,1226.89
12999,196,49,3,455.88
13000,107,258,3,534.85
13001,4,322,13,9818.82
13002,318,1,1,120.94999999999999
13003,106,109,3,149.05
13004,12,346,18,5655.91
13005,174,72,2,513.7
13006,56,1,1,81.57
13008,323,1,1,229.46999999999997
13011,372,1,1,50.550000000000004
13012,9,285,8,1661.8400000000001
13013,1,370,13,4810.9400000000005
13014,11,270,10,3466.2799999999997
13015,53,195,5,3346.28
13016,73,49,3,789.89
13017,7,1,1,204.0
13018,16,279,28,7277.7
13021,4,354,9,2616.38
13023,64,65,2,689.9
13026,1,274,5,975.36
13027,114,240,6,6912.0
13028,23,22,2,661.3199999999999
13029,31,322,3,1247.5
13030,11,356,2,799.48
13032,52,34,2,1010.18
13033,357,1,1,190.55
13034,55,314,2,642.77
13035,74,186,2,921.88
13037,138,118,3,881.07
13038,80,210,3,908.46
13040,9,24,2,676.99
13043,273,1,1,516.42
13044,291,1,1,560.47
13045,99,1,1,305.28000000000003
13046,31,235,2,629.31
13047,32,342,10,3237.54
13048,14,312,4,1835.91
13049,64,253,2,656.6800000000001
13050,15,351,17,5836.86
13052,212,1,1,348.15000000000003
13055,78,135,3,1214.41
13058,25,127,3,271.40000000000003
13059,250,1,1,183.4
13060,254,1,1,307.53
13061,72,1,1,248.61
13062,191,1,1,346.98
13064,13,314,4,1119.49
13065,373,1,1,205.86
13066,24,7,2,470.8
13067,82,1,1,115.46000000000001
13068,10,309,2,344.0
13069,1,368,24,4436.12
13070,192,1,1,228.8
13072,267,1,1,177.15
13075,130,1,1,919.61
13077,1,365,4,729.27
13078,3,363,26,12627.94
13079,4,136,5,220.10000000000002
13080,179,1,1,58.08
13081,12,359,11,28337.38
13082,126,212,9,3613.63
13083,4,71,2,303.75
13085,158,137,2,416.08000000000004
13089,3,366,97,58825.83
13090,9,364,14,8910.82
13091,28,1,1,345.82
13092,71,288,5,477.83
13093,276,97,8,7832.47
13094,21,347,12,1927.3200000000002
13095,71,1,1,74.39999999999999
13097,33,327,10,6010.42
13098,1,316,28,28882.44
13099,99,1,1,207.35999999999999
13101,234,1,1,101.19
13102,1,363,24,6424.09
13103,40,1,1,243.94
13104,3,351,6,1098.48
13106,133,1,1,76.5
13107,44,289,4,1531.6200000000001
13108,373,1,1,350.06
13109,60,97,2,786.54
13110,31,279,7,1488.67
13113,1,365,24,12245.960000000001
13115,12,172,4,2294.78
13116,138,1,1,501.14
13117,22,350,8,984.91
13118,20,269,5,1197.81
13120,239,1,1,30.599999999999998
13121,269,1,1,283.73
13122,94,146,2,922.39
13124,90,269,3,3866.33
13126,5,361,8,2099.64
13127,78,1,1,259.17
13130,94,1,1,64.0
13131,23,164,3,1073.3
13132,262,1,1,77.3
13133,274,30,2,109.8
13134,86,154,4,1793.58
13135,197,1,1,3096.0
13136,56,156,5,2607.61
13137,11,298,8,3650.41
13138,22,350,6,962.39
13139,16,243,7,5064.94
13140,108,258,3,423.72
13141,85,230,5,2388.75
13142,19,1,1,307.09
13144,333,1,1,110.95
13145,40,332,4,618.52
13146,26,1,1,228.91
13147,10,89,4,712.8000000000001
13148,29,335,12,3707.12
13149,14,274,4,1676.06
13151,296,1,1,1257.8700000000001
13153,6,1,1,486.22
13155,33,335,4,971.76
13157,49,248,4,1741.22
13158,95,224,4,1201.06
13159,9,106,4,1437.85
13160,22,1,1,91.8
13161,313,1,1,112.75
13162,122,212,4,1688.29
13165,46,305,2,1021.48
13166,283,1,1,417.2
13167,19,125,4,791.33
13168,36,281,4,1319.19
13169,64,188,2,712.88
13170,27,1,1,116.00999999999999
13171,22,277,3,468.41
13173,4,363,2,353.65
13174,16,352,3,2817.03
13176,46,1,1,492.84
13177,65,1,1,282.45
13178,26,334,11,5725.47
13182,45,1,1,121.18
13183,8,326,9,3957.78
13184,15,275,10,1701.29
13185,268,1,1,71.4
13186,40,89,3,1575.89
13187,337,1,1,236.02
13188,11,1,1,114.60000000000001
13189,19,96,2,260.68
13192,95,109,2,911.94
13193,61,1,1,117.88
13194,136,1,1,60.7
13196,11,250,4,1797.78
13198,10,351,6,3401.2400000000002
13199,4,363,38,9817.12
13200,19,107,4,870.09
13203,10,232,4,869.46
13207,15,135,2,250.26000000000002
13208,59,250,6,1223.9
13209,30,331,8,5891.61
13210,94,1,1,353.48
13211,10,350,3,1197.42
13212,20,41,3,788.08
13213,57,142,5,1520.58
13216,268,1,1,333.74
13217,122,34,3,533.98
13218,127,1,1,62.63999999999999
13220,78,158,4,819.2900000000001
13221,240,119,2,847.41
13223,200,31,2,163.20000000000002
13224,60,91,2,2155.95
13225,3,358,7,6463.84
13226,273,1,1,108.21000000000001
13227,202,1,1,257.7
13228,81,1,1,358.0
13229,226,1,1,160.95
13230,4,360,14,2806.97
13232,13,230,7,1357.6
13233,74,261,2,605.12
13235,212,1,1,1031.07
13236,25,82,2,744.85
13238,17,343,4,700.73
13239,262,1,1,329.56
13240,96,269,4,663.65
13242,112,101,3,270.40000000000003
13243,203,1,1,600.07
13244,93,1,1,121.74000000000001
13245,51,1,1,430.5
13246,18,312,6,1987.3
13247,18,64,4,501.12
13248,125,64,2,465.68
13249,92,168,3,711.41
13253,157,182,2,1030.4
13255,9,364,2,399.51
13258,12,193,3,698.58
13259,62,1,1,292.32
13260,61,1,1,557.62
13261,269,17,2,944.1
13262,263,1,1,200.29
13263,1,323,35,7454.07
13265,53,220,5,2107.66
13266,11,245,12,3834.2599999999998
13267,3,364,19,4521.49
13268,18,249,11,3214.69
13269,1,368,15,5346.2300000000005
13270,366,1,1,590.0
13271,37,1,1,217.38
13272,31,58,2,276.56
13273,113,1,1,138.98
13276,64,36,2,590.9300000000001
13277,16,117,4,258.4
13278,41,1,1,542.73
13279,78,1,1,137.75
13280,122,214,3,814.86
13282,18,202,3,1132.14
13283,60,125,2,93.66
13284,331,1,1,201.19
13285,23,266,4,2709.12
13291,156,1,1,361.11
13292,39,245,2,578.9399999999999
13294,190,59,2,873.74
13295,360,1,1,201.20000000000002
13296,137,1,1,87.4
13297,8,59,4,2089.85
13298,1,1,1,360.0
13299,268,1,1,142.5
13300,169,1,1,371.89
13301,104,188,4,618.09
13302,155,1,1,63.75
13304,351,1,1,300.42
13305,4,368,10,2000.86
13307,120,1,1,15.0
13308,23,180,3,1385.51
13309,7,301,5,1456.79
13310,28,296,3,1132.03
13311,4,145,2,598.57
13313,22,317,5,1555.32
13314,2,72,3,775.94
13316,37,217,4,5977.7300000000005
13317,66,292,6,2273.68
13318,1,36,3,640.76
13319,5,360,26,10845.550000000001
13320,78,135,4,1548.7
13321,72,14,2,567.36
13322,17,1,1,199.48000000000002
13323,3,81,5,787.85
13324,36,324,10,7121.95
13325,82,1,1,675.3
13327,39,326,8,3627.77
13328,316,1,1,1308.48
13329,32,335,2,789.0
13330,93,223,3,1140.93
13332,14,1,1,350.9
13334,82,223,3,3536.82
13336,77,1,1,795.12
13338,158,1,1,487.02
13339,201,1,1,860.12
13340,45,231,7,10736.48
13341,261,1,1,775.85
13343,178,1,1,353.43
13344,68,209,3,2543.72
13345,288,1,1,389.5
13347,70,1,1,341.36
13348,64,1,1,233.76
13349,11,1,1,247.32
13350,16,63,2,979.12
13351,66,1,1,373.94
13352,60,1,1,397.97999999999996
13354,71,1,1,743.53
13355,122,1,1,674.7
13356,80,1,1,768.24
13357,257,1,1,609.95
13358,269,1,1,439.03
13359,64,1,1,439.56
13362,9,278,4,3090.7400000000002
13363,18,26,2,992.5
13364,71,1,1,134.95999999999998
13365,34,184,2,2225.37
13366,50,1,1,56.160000000000004
13368,257,80,2,623.4
13369,366,1,1,308.28000000000003
13370,372,1,1,754.87
13372,90,1,1,378.64
13373,61,215,3,3312.25
13375,89,1,1,778.65
13376,99,135,3,1019.76
13379,26,110,3,572.56
13381,32,267,6,3639.31
13382,281,1,1,222.99
13384,31,147,7,4151.93
13385,330,1,1,534.57
13388,131,1,2,677.1
13389,11,221,3,797.96
13390,75,1,1,544.08
13391,204,1,1,59.8
13394,2,308,8,2520.02
13395,185,1,1,307.72
13396,29,290,2,1360.99
13397,73,266,5,1544.13
13398,192,1,1,457.34
13402,127,244,2,621.23
13403,18,1,1,75.0
13404,1,211,2,252.49
13405,74,243,3,572.451
13408,2,371,62,28117.04
13410,24,267,5,1003.06
13411,107,1,1,213.55
13414,134,162,3,1390.5
13416,44,37,2,712.5
13417,5,200,2,640.83
13418,12,360,18,6127.43
13419,64,1,1,221.06
13420,150,20,2,159.85
13421,40,249,2,1851.08
13422,64,1,1,2626.3
13425,108,186,3,1624.21
13426,1,358,10,3641.32
13427,19,195,3,582.6
13428,10,1,1,218.47
13429,11,64,4,1006.8
13430,19,67,2,679.45
13431,67,21,2,1269.1
13434,74,22,2,534.24
13435,5,183,7,3809.8900000000003
13436,2,1,1,196.89
13437,14,175,7,3408.06
13439,255,1,1,283.71
13441,92,1,1,296.64
13447,23,12,3,1129.14
13448,17,357,6,3539.37
13449,24,1,1,291.88
13450,27,191,6,2043.7199999999998
13451,26,308,5,2976.15
13452,259,11,2,590.0
13453,166,123,2,356.97999999999996
13455,25,341,2,1058.34
13456,18,189,6,1766.72
13458,7,352,14,9646.57
13460,29,20,2,183.44
13461,39,124,3,1445.0
13462,253,1,1,151.5
13464,58,1,1,674.68
13466,184,1,1,307.9
13467,11,25,2,1083.71
13468,2,371,37,5704.97
13470,99,15,2,165.0
13471,1,46,4,2531.58
13473,61,272,2,422.64
13474,236,1,1,229.59
13475,191,107,4,1431.78
13476,179,102,2,1238.47
13477,38,253,6,1454.58
13479,201,33,2,300.95
13481,46,211,5,1804.56
13482,232,1,1,184.64
13483,66,1,1,140.34
13484,241,1,1,313.8
13485,233,1,1,454.24
13486,78,76,3,1122.41
13487,58,295,3,575.4
13488,17,350,13,8968.31
13489,105,189,4,449.52
13491,52,320,10,1215.82
13492,136,78,3,1269.84
13493,275,11,2,618.63
13494,312,1,1,316.26000000000005
13495,8,360,5,2044.8700000000001
13496,11,349,2,653.33
13497,283,85,2,348.05
13499,18,252,5,1159.11
